Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.apache.commons.collections4.bag.CollectionBag.add",,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,3,1,1,10,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,3.33,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBag.add",,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,4,1,2,11,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,2.75,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBag.addAll",,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,9,4,6,0,5,2,0,5,7,4,3,2,2,3,1,0,,,,,0,,1,0,,0.00,2,2,3,1
Public Static Generic Method,"org.apache.commons.collections4.bag.CollectionBag.collectionBag",,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,3,1,1,8,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,2.67,1,1,1,1
TypeVariable,"org.apache.commons.collections4.bag.CollectionBag.collectionBag.E",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Method,"org.apache.commons.collections4.bag.CollectionBag.containsAll",,,,,,,,,,,,,,,,,,,,,,,,,,1,19,0,9,2,5,10,5,3,0,3,6,2,4,3,3,3,3,3,,,,,3,,2,3,,1.11,3,3,3,3
Private Method,"org.apache.commons.collections4.bag.CollectionBag.readObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,4,1,2,8,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,2.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBag.remove",,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,3,1,1,10,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,3.33,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBag.removeAll",,,,,,,,,,,,,,,,,,,,,,,,,,1,23,0,13,5,9,10,8,3,0,7,10,5,5,3,3,4,1,1,,,,,0,,2,0,,0.77,3,3,4,1
Public Method,"org.apache.commons.collections4.bag.CollectionBag.retainAll",,,,,,,,,,,,,,,,,,,,,,,,,,1,32,0,14,3,9,18,8,4,1,6,10,3,7,4,4,4,1,1,,,,,0,,3,0,,1.29,4,4,4,1
